# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	FILTER_LEN10_140 FILTER_LEN10_140	2.0e-125	   1.3e-128	        -294.46	       -44.5	       82	        171	         481	        494	  0.47953	9.0e-133	     14703
   1	FILTER_LEN10_141 FILTER_LEN10_141	5.8e-093	   3.9e-096	        -219.69	       -47.5	       76	        171	         359	        378	  0.44444	2.6e-100	     14703
   1	FILTER_LEN10_142 FILTER_LEN10_142	1.4e-062	   9.4e-066	        -149.73	       -47.0	       77	        171	         248	        260	  0.45029	6.4e-070	     14703
   1	FILTER_LEN10_143 FILTER_LEN10_143	1.2e-106	   7.8e-110	        -251.23	       -43.0	       85	        171	         450	        465	  0.49708	5.3e-114	     14703
   1	FILTER_LEN10_144 FILTER_LEN10_144	5.1e-106	   3.4e-109	        -249.77	       -47.5	       76	        171	         429	        458	  0.44444	2.3e-113	     14703
   1	FILTER_LEN10_145 FILTER_LEN10_145	3.1e-094	   2.1e-097	        -222.63	       -42.5	       86	        171	         418	        434	  0.50292	1.4e-101	     14703
   1	FILTER_LEN10_146 FILTER_LEN10_146	2.8e-156	   1.9e-159	        -365.49	       -43.5	       84	        171	         631	        651	  0.49123	1.3e-163	     14703
   1	FILTER_LEN10_147 FILTER_LEN10_147	5.7e-115	   3.8e-118	        -270.37	       -46.0	       79	        171	         440	        457	  0.46199	2.6e-122	     14703
   1	FILTER_LEN10_148 FILTER_LEN10_148	4.6e-126	   3.1e-129	        -295.92	       -47.0	       77	        171	         464	        483	  0.45029	2.1e-133	     14703
   1	FILTER_LEN10_149 FILTER_LEN10_149	4.2e-083	   2.8e-086	        -196.98	       -49.0	       73	        171	         327	        351	  0.42690	1.9e-090	     14703
   1	FILTER_LEN10_150 FILTER_LEN10_150	6.2e-068	   4.1e-071	        -162.06	       -46.5	       76	        171	         291	        313	  0.44444	2.8e-075	     14703
   1	FILTER_LEN10_151 FILTER_LEN10_151	4.8e-120	   3.2e-123	        -282.06	       -40.0	       91	        171	         558	        574	  0.53216	2.2e-127	     14703
   1	FILTER_LEN10_152 FILTER_LEN10_152	1.9e-105	   1.3e-108	        -248.42	       -42.5	       86	        171	         481	        503	  0.50292	8.8e-113	     14703
   1	FILTER_LEN10_153 FILTER_LEN10_153	1.3e-061	   8.5e-065	        -147.52	       -46.5	       78	        171	         266	        283	  0.45614	5.8e-069	     14703
   1	FILTER_LEN10_154 FILTER_LEN10_154	2.4e-090	   1.6e-093	        -213.65	       -41.0	       85	        171	         364	        372	  0.49708	1.1e-097	     14703
   1	FILTER_LEN10_155 FILTER_LEN10_155	5.4e-134	   3.6e-137	        -314.18	       -45.5	       80	        171	         547	        575	  0.46784	2.4e-141	     14703
   1	FILTER_LEN10_156 FILTER_LEN10_156	3.8e-086	   2.6e-089	        -203.99	       -49.0	       73	        171	         316	        333	  0.42690	1.7e-093	     14703
   1	FILTER_LEN10_157 FILTER_LEN10_157	2.2e-091	   1.5e-094	        -216.04	       -42.0	       87	        171	         394	        405	  0.50877	1.0e-098	     14703
   1	FILTER_LEN10_158 FILTER_LEN10_158	1.5e-093	   1.0e-096	        -221.02	       -52.5	       66	        171	         342	        376	  0.38596	7.0e-101	     14703
   1	FILTER_LEN10_159 FILTER_LEN10_159	1.5e-107	   9.8e-111	        -253.31	       -47.0	       77	        171	         444	        474	  0.45029	6.6e-115	     14703
   1	FILTER_LEN10_160 FILTER_LEN10_160	1.8e-100	   1.2e-103	        -236.97	       -46.0	       79	        171	         380	        393	  0.46199	8.3e-108	     14703
   1	FILTER_LEN10_161 FILTER_LEN10_161	1.9e-114	   1.3e-117	        -269.15	       -49.5	       72	        171	         452	        491	  0.42105	8.7e-122	     14703
   1	FILTER_LEN10_162 FILTER_LEN10_162	1.3e-066	   8.5e-070	        -159.04	       -41.5	       88	        171	         323	        337	  0.51462	5.8e-074	     14703
